filename,breed,style,setting,activity,mood,color,description
dog_091.png,Poodle,Photo,Studio,Posing,Alert and Calm,"White, Cream, Grey, Black",A white Poodle with a professional show groom stands alertly on a dark floor against a light grey background in a studio setting.
dog_092.png,Poodle,photo,park,running and playing with a ball,happy,"white, red, green","A happy white Poodle is captured mid-air, running across a green park with a red ball in its mouth."
dog_093.png,Goldendoodle,photo,city sidewalk,sitting and looking at the camera,calm,"cream, grey, blue, orange",A cream-colored Goldendoodle sits calmly on a city sidewalk next to a bus stop with a 'Summer Sale 2026' billboard.
dog_094.png,Poodle,photo,flower garden,running,joyful,"golden, pink, yellow, blue, green",A happy golden Poodle runs playfully down a stone path in a vibrant flower garden with a decorative gate in the background.
dog_095.png,Poodle,photo,Outdoor European cafe,Sitting attentively at a table,Calm and observant,"Cream, red, brown, white",A cream-colored Poodle wearing a pearl necklace sits attentively on a red cushioned chair at an outdoor European cafe with a coffee cup and macaron on the table.
dog_096.png,Poodle,pencil drawing,beach with cliffs and ocean waves,standing and observing,calm and alert,shades of grey and black,"A detailed pencil drawing of a Poodle standing on a sandy beach, looking out towards the ocean with waves and cliffs in the background."
dog_097.png,Poodle,watercolor painting,garden with wisteria and roses,leaping or jumping with a bee nearby,happy and playful,"white, lavender, purple, green","A happy white Poodle is playfully leaping through a garden filled with purple wisteria and roses, with a bee buzzing near its head, all rendered in a soft watercolor style."
dog_098.png,Poodle,"Oil painting, classical portrait","Indoor, formal studio with column and bust","Sitting regally, posing for a portrait","Dignified, regal, calm","Cream, gold, blue, red, dark brown","A majestic cream-colored Poodle, adorned with a pearl and ruby necklace and a blue and gold robe, poses regally in a classical oil painting setting."
dog_099.png,Poodle,Cartoon illustration with textured brushes,Park,Running and celebrating,Joyful and playful,"Blue, yellow, pink, green, orange, light brown","A vibrant, happy poodle with multicolored fur runs joyfully through a park filled with confetti, as three cheering children watch in the background."
dog_100.png,Goldendoodle,photo,cozy living room with a fireplace,sleeping,peaceful,"light golden, cream, red, green, grey","A light golden Goldendoodle peacefully sleeps on a grey blanket in a cozy living room, next to a festive fireplace decorated for New Year 2026."
